Sighting Animal,Sighting Evidence,Sighting Evidence Comment,Sighting Quantity,Sighting Presence,Sighting Evidence of Absence,Sighting Provisions Related,Sighting Evidence of Provision,Sighting Native American Presence,Observation Year,Observation Season,Observation Month,Observation Day,Observer Name,Observer ID,Observer Years,Observer Participation,Observer Point of Origin,Observer Notes,Observer Profession,Observer Official Status,Observer Gender,Observation Location,Observation Comments,Trip Participants,Trip Number Participants,Trip Purpose,Trip Comments,Trip Start Year,Trip Start Month,Trip Start Day,Trip End Year,Trip End Month,Trip End Day,Trip Digital Route Available,Source Document,Source Page,Source Author,Source Date of Publication,Source Title,Source Subtitle,Source Publisher,Source Publisher Location,Source Comments
Wolf,killed animal,,1,1,,0,,0,1865,winter,January,8,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,Emigrant Gulch area,,"John Hackney, Will Hackney, Stevens, Mela Clark, Mr Ross, Duster Lawrence, George",,prospecting,,1865,January,0,1865,December,0,0,Hackney 1865,1,"Hackney, John S.",1865,,,,,
Wolf,described parts,hide,1,1,,0,,0,1865,winter,January,8,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,Emigrant Gulch area,,"John Hackney, Will Hackney, Stevens, Mela Clark, Mr Ross, Duster Lawrence, George",,prospecting,,1865,January,0,1865,December,0,0,Hackney 1865,1,"Hackney, John S.",1865,,,,,
Wolf,assumption,baited wolves,Unknown,1,,0,,0,1865,winter,January,8,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,Emigrant Gulch area,,"John Hackney, Will Hackney, Stevens, Mela Clark, Mr Ross, Duster Lawrence, George",,prospecting,,1865,January,0,1865,December,0,0,Hackney 1865,1,"Hackney, John S.",1865,,,,,
Bighorn Sheep,assumption,hunt,Unknown,1,,0,,0,1865,winter,January,9,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,on mountains surrounding Emigrant Gulch,,"John Hackney, Will Hackney, Stevens, Mela Clark, Mr Ross, Duster Lawrence, George",,prospecting,,1865,January,0,1865,December,0,0,Hackney 1865,1,"Hackney, John S.",1865,,,,,
Bighorn Sheep,killed animal,one,Less than 10,1,,0,,0,1865,winter,January,9,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,on mountains surrounding Emigrant Gulch,,"John Hackney, Will Hackney, Stevens, Mela Clark, Mr Ross, Duster Lawrence, George",,prospecting,,1865,January,0,1865,December,0,0,Hackney 1865,1,"Hackney, John S.",1865,,,,,
Wolf,assumption,baited wolves,Unknown,1,,0,,0,1865,winter,January,9,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,on mountains surrounding Emigrant Gulch,,"John Hackney, Will Hackney, Stevens, Mela Clark, Mr Ross, Duster Lawrence, George",,prospecting,,1865,January,0,1865,December,0,0,Hackney 1865,1,"Hackney, John S.",1865,,,,,
Bighorn Sheep,assumption,hunt,Unknown,1,,0,,0,1865,winter,January,10,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,on mountains surrounding Emigrant Gulch,,"John Hackney, Will Hackney, Stevens, Mela Clark, Mr Ross, Duster Lawrence, George",,prospecting,,1865,January,0,1865,December,0,0,Hackney 1865,1,"Hackney, John S.",1865,,,,,
Bighorn Sheep,killed animal,one,Less than 10,1,,0,,0,1865,winter,January,10,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,on mountains surrounding Emigrant Gulch,,"John Hackney, Will Hackney, Stevens, Mela Clark, Mr Ross, Duster Lawrence, George",,prospecting,,1865,January,0,1865,December,0,0,Hackney 1865,1,"Hackney, John S.",1865,,,,,
Bighorn Sheep,described parts,carcass,Less than 10,1,,0,,0,1865,winter,January,10,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,on mountains surrounding Emigrant Gulch,,"John Hackney, Will Hackney, Stevens, Mela Clark, Mr Ross, Duster Lawrence, George",,prospecting,,1865,January,0,1865,December,0,0,Hackney 1865,1,"Hackney, John S.",1865,,,,,
,,,,0,killed nothing,0,,0,1865,winter,January,11,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,on mountains surrounding Emigrant Gulch,,"John Hackney, Will Hackney, Stevens, Mela Clark, Mr Ross, Duster Lawrence, George",,prospecting,,1865,January,0,1865,December,0,0,Hackney 1865,1,"Hackney, John S.",1865,,,,,
Elk,observed animal,chased,Less than 10,1,,0,,0,1865,winter,January,13,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,Emigrant Gulch area,,"John Hackney, Will Hackney, Stevens, Mela Clark, Mr Ross, Duster Lawrence, George",,prospecting,,1865,January,0,1865,December,0,0,Hackney 1865,1,"Hackney, John S.",1865,,,,,
Elk,attempted to kill,shot one,Less than 10,1,,0,,0,1865,winter,January,13,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,Emigrant Gulch area,,"John Hackney, Will Hackney, Stevens, Mela Clark, Mr Ross, Duster Lawrence, George",,prospecting,,1865,January,0,1865,December,0,0,Hackney 1865,1,"Hackney, John S.",1865,,,,,
Elk,described parts,meat,Less than 10,1,,0,,0,1865,winter,January,19,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,Emigrant Gulch area,,"John Hackney, Will Hackney, Stevens, Mela Clark, Mr Ross, Duster Lawrence, George",,prospecting,,1865,January,0,1865,December,0,0,Hackney 1865,1,"Hackney, John S.",1865,,,,,
"Deer, unspecified",described parts,meat,Less than 10,1,,0,,0,1865,winter,January,19,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,Emigrant Gulch area,,"John Hackney, Will Hackney, Stevens, Mela Clark, Mr Ross, Duster Lawrence, George",,prospecting,,1865,January,0,1865,December,0,0,Hackney 1865,1,"Hackney, John S.",1865,,,,,
Bighorn Sheep,described parts,meat,Less than 10,1,,0,,0,1865,winter,January,19,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,Emigrant Gulch area,,"John Hackney, Will Hackney, Stevens, Mela Clark, Mr Ross, Duster Lawrence, George",,prospecting,,1865,January,0,1865,December,0,0,Hackney 1865,1,"Hackney, John S.",1865,,,,,
Unknown,described parts,tallow,,1,,0,,0,1865,winter,January,27,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,Emigrant Gulch area,,"John Hackney, Will Hackney, Stevens, Mela Clark, Mr Ross, Duster Lawrence, George",,prospecting,,1865,January,0,1865,December,0,0,Hackney 1865,1,"Hackney, John S.",1865,,,,,
Elk,killed animal,two,Less than 10,1,,0,,0,1866,winter,January,2,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,"~20 miles across River, from Emigrant Gulch area",,"John Hackney, Bill, Will Hackney, George Travis, Stewart, Hubble, Seward",,prospecting,Yellowstone City,1866,January,0,1866,October,0,0,Hackney 1866,1,"Hackney, John S.",1866,,,,,
Elk,described parts,carcass,Less than 10,1,,0,,0,1866,winter,January,2,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,"~20 miles across River, from Emigrant Gulch area",,"John Hackney, Bill, Will Hackney, George Travis, Stewart, Hubble, Seward",,prospecting,Yellowstone City,1866,January,0,1866,October,0,0,Hackney 1866,1,"Hackney, John S.",1866,,,,,
Elk,assumption,hunt,Unknown,1,,0,,0,1866,winter,January,5,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,Mill Creek,,"John Hackney, Bill, Will Hackney, George Travis, Stewart, Hubble, Seward",,prospecting,Yellowstone City,1866,January,0,1866,October,0,0,Hackney 1866,1,"Hackney, John S.",1866,,,,,
Wolf,assumption,hunting elk to use for wolf bait,Unknown,1,,0,,0,1866,winter,January,5,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,Mill Creek,,"John Hackney, Bill, Will Hackney, George Travis, Stewart, Hubble, Seward",,prospecting,Yellowstone City,1866,January,0,1866,October,0,0,Hackney 1866,1,"Hackney, John S.",1866,,,,,
,,,,0,did not see any elk,0,,0,1866,winter,January,5,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,Mill Creek,,"John Hackney, Bill, Will Hackney, George Travis, Stewart, Hubble, Seward",,prospecting,Yellowstone City,1866,January,0,1866,October,0,0,Hackney 1866,1,"Hackney, John S.",1866,,,,,
Bighorn Sheep,killed animal,,Less than 10,1,,0,,0,1866,winter,January,5,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,Mill Creek,,"John Hackney, Bill, Will Hackney, George Travis, Stewart, Hubble, Seward",,prospecting,Yellowstone City,1866,January,0,1866,October,0,0,Hackney 1866,1,"Hackney, John S.",1866,,,,,
"Deer, unspecified",observed animal,,Less than 10,1,,0,,0,1866,winter,January,6,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,Emigrant Gulch area,,"John Hackney, Bill, Will Hackney, George Travis, Stewart, Hubble, Seward",,prospecting,Yellowstone City,1866,January,0,1866,October,0,0,Hackney 1866,1,"Hackney, John S.",1866,,,,,
Elk,killed animal,large,Less than 10,1,,0,,0,1866,winter,January,8,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,Emigrant Gulch area,,"John Hackney, Bill, Will Hackney, George Travis, Stewart, Hubble, Seward",,prospecting,Yellowstone City,1866,January,0,1866,October,0,0,Hackney 1866,1,"Hackney, John S.",1866,,,,,
Elk,described parts,carcass,Less than 10,1,,0,,0,1866,winter,January,8,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,Emigrant Gulch area,,"John Hackney, Bill, Will Hackney, George Travis, Stewart, Hubble, Seward",,prospecting,Yellowstone City,1866,January,0,1866,October,0,0,Hackney 1866,1,"Hackney, John S.",1866,,,,,
Bighorn Sheep,assumption,hunt,Unknown,1,,0,,0,1866,winter,January,9,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,Emigrant Gulch area,,"John Hackney, Bill, Will Hackney, George Travis, Stewart, Hubble, Seward",,prospecting,Yellowstone City,1866,January,0,1866,October,0,0,Hackney 1866,1,"Hackney, John S.",1866,,,,,
Bighorn Sheep,observed animal,old buck,Less than 10,1,,0,,0,1866,winter,January,9,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,Emigrant Gulch area,,"John Hackney, Bill, Will Hackney, George Travis, Stewart, Hubble, Seward",,prospecting,Yellowstone City,1866,January,0,1866,October,0,0,Hackney 1866,1,"Hackney, John S.",1866,,,,,
Coyote,killed animal,"""caught""",1,1,,0,,0,1866,winter,January,10,"Hackney, John S.",joha,"1864, 1865, 1866",First Hand,resident,,prospector,Non to Official,M,Emigrant Gulch area,,"John Hackney, Bill, Will Hackney, George Travis, Stewart, Hubble, Seward",,prospecting,Yellowstone City,1866,January,0,1866,October,0,0,Hackney 1866,1,"Hackney, John S.",1866,,,,,
Wolverine,killed animal,,1,1,,0,,0,1870,spring,,0,"Gourley, James A.",jago,1870,First Hand,resident,,prospector,Non to Official,M,"Buffalo Plateau, Slough Creek divide at head of Wolverine Creek, 5 miles from Lake Abundance",,"A.B. Henderson, James A. Gourley, Adam ""Horn"" Miller",6,prospecting,,1870,June,0,1870,August,0,1,Gourley 1929,1,"Gourley, James A.",1929,,,,,
Bison,observed animal,,Less than 10,1,,0,,0,1870,spring,,0,"Gourley, James A.",jago,1870,First Hand,resident,,prospector,Non to Official,M,"Buffalo Plateau, crossed head of Buffalo Creek",,"A.B. Henderson, James A. Gourley, Adam ""Horn"" Miller",6,prospecting,,1870,June,0,1870,August,0,1,Gourley 1929,1,"Gourley, James A.",1929,,,,,
Unknown,assumption,hunter's paradise,,1,,0,,0,1870,spring,,0,"Gourley, James A.",jago,1870,First Hand,resident,,prospector,Non to Official,M,Buffalo Plateau,"between Hellroaring and Mill Creeks, along high ridge to the Boulder","A.B. Henderson, James A. Gourley, Adam ""Horn"" Miller",6,prospecting,,1870,June,0,1870,August,0,1,Gourley 1929,1,"Gourley, James A.",1929,,,,,
Grizzly Bear,observed animal,,1,1,,0,,0,1870,spring,,0,"Gourley, James A.",jago,1870,First Hand,resident,,prospector,Non to Official,M,Buffalo Plateau,"between Hellroaring and Mill Creeks, along high ridge to the Boulder","A.B. Henderson, James A. Gourley, Adam ""Horn"" Miller",6,prospecting,,1870,June,0,1870,August,0,1,Gourley 1929,1,"Gourley, James A.",1929,,,,,
Bighorn Sheep,observed animal,,Less than 10,1,,0,,0,1870,spring,,0,"Gourley, James A.",jago,1870,First Hand,resident,,prospector,Non to Official,M,Buffalo Plateau,"between Hellroaring and Mill Creeks, along high ridge to the Boulder","A.B. Henderson, James A. Gourley, Adam ""Horn"" Miller",6,prospecting,,1870,June,0,1870,August,0,1,Gourley 1929,1,"Gourley, James A.",1929,,,,,
Elk,observed animal,,Less than 10,1,,0,,0,1870,spring,,0,"Gourley, James A.",jago,1870,First Hand,resident,,prospector,Non to Official,M,Buffalo Plateau,"between Hellroaring and Mill Creeks, along high ridge to the Boulder","A.B. Henderson, James A. Gourley, Adam ""Horn"" Miller",6,prospecting,,1870,June,0,1870,August,0,1,Gourley 1929,1,"Gourley, James A.",1929,,,,,
"Deer, unspecified",observed animal,,Less than 10,1,,0,,0,1870,spring,,0,"Gourley, James A.",jago,1870,First Hand,resident,,prospector,Non to Official,M,Buffalo Plateau,"between Hellroaring and Mill Creeks, along high ridge to the Boulder","A.B. Henderson, James A. Gourley, Adam ""Horn"" Miller",6,prospecting,,1870,June,0,1870,August,0,1,Gourley 1929,1,"Gourley, James A.",1929,,,,,
Unknown,observed animal,full of large game,,1,,0,,0,1870,summer,September,0,"Doane, Gustavus",gudo,"1870, 1874, 1875, 1876, 1878",First Hand,regional,,military personnel,Official,M,table between Wind River and Clark's Fork divide,,"Henry Washburn, Captain Gustavus Doane, Truman Everts, Private Williamson, Private Moore, Nathaniel P. Langford, Samuel Hauser, B. Stickney, Jr, Cornelius Hedges, Bean, Reynolds, Jake Smith, Warren Gillette, Walter Trumbull",19,,"40 horses, one dog; Yellowstone Rr toYellowstone Lake to W Thumb to Old Faithful and out Madison",1870,August,25,1870,October,20,1,Doane 1878,1,"Doane, Captian Gustavus",1878,,,,,
Elk,observed animal,immense herds,More than 500,1,,0,,0,1870,summer,September,0,"Doane, Gustavus",gudo,"1870, 1874, 1875, 1876, 1878",First Hand,regional,,military personnel,Official,M,table between Wind River and Clark's Fork divide,,"Henry Washburn, Captain Gustavus Doane, Truman Everts, Private Williamson, Private Moore, Nathaniel P. Langford, Samuel Hauser, B. Stickney, Jr, Cornelius Hedges, Bean, Reynolds, Jake Smith, Warren Gillette, Walter Trumbull",19,,"40 horses, one dog; Yellowstone Rr toYellowstone Lake to W Thumb to Old Faithful and out Madison",1870,August,25,1870,October,20,1,Doane 1878,1,"Doane, Captian Gustavus",1878,,,,,
Bighorn Sheep,observed animal,immense herds,More than 500,1,,0,,0,1870,summer,September,0,"Doane, Gustavus",gudo,"1870, 1874, 1875, 1876, 1878",First Hand,regional,,military personnel,Official,M,table between Wind River and Clark's Fork divide,,"Henry Washburn, Captain Gustavus Doane, Truman Everts, Private Williamson, Private Moore, Nathaniel P. Langford, Samuel Hauser, B. Stickney, Jr, Cornelius Hedges, Bean, Reynolds, Jake Smith, Warren Gillette, Walter Trumbull",19,,"40 horses, one dog; Yellowstone Rr toYellowstone Lake to W Thumb to Old Faithful and out Madison",1870,August,25,1870,October,20,1,Doane 1878,1,"Doane, Captian Gustavus",1878,,,,,
"Deer, unspecified",observed animal,quite numerous,More than 500,1,,0,,0,1870,summer,September,0,"Doane, Gustavus",gudo,"1870, 1874, 1875, 1876, 1878",First Hand,regional,,military personnel,Official,M,,,"Henry Washburn, Captain Gustavus Doane, Truman Everts, Private Williamson, Private Moore, Nathaniel P. Langford, Samuel Hauser, B. Stickney, Jr, Cornelius Hedges, Bean, Reynolds, Jake Smith, Warren Gillette, Walter Trumbull",19,,"40 horses, one dog; Yellowstone Rr toYellowstone Lake to W Thumb to Old Faithful and out Madison",1870,August,25,1870,October,20,1,Doane 1878,1,"Doane, Captian Gustavus",1878,,,,,
"Bear, unspecified",observed animal,quite numerous,More than 10,1,,0,,0,1870,summer,September,0,"Doane, Gustavus",gudo,"1870, 1874, 1875, 1876, 1878",First Hand,regional,,military personnel,Official,M,,,"Henry Washburn, Captain Gustavus Doane, Truman Everts, Private Williamson, Private Moore, Nathaniel P. Langford, Samuel Hauser, B. Stickney, Jr, Cornelius Hedges, Bean, Reynolds, Jake Smith, Warren Gillette, Walter Trumbull",19,,"40 horses, one dog; Yellowstone Rr toYellowstone Lake to W Thumb to Old Faithful and out Madison",1870,August,25,1870,October,20,1,Doane 1878,1,"Doane, Captian Gustavus",1878,,,,,
Wolverine,observed animal,quite numerous,More than 10,1,,0,,0,1870,summer,September,0,"Doane, Gustavus",gudo,"1870, 1874, 1875, 1876, 1878",First Hand,regional,,military personnel,Official,M,,,"Henry Washburn, Captain Gustavus Doane, Truman Everts, Private Williamson, Private Moore, Nathaniel P. Langford, Samuel Hauser, B. Stickney, Jr, Cornelius Hedges, Bean, Reynolds, Jake Smith, Warren Gillette, Walter Trumbull",19,,"40 horses, one dog; Yellowstone Rr toYellowstone Lake to W Thumb to Old Faithful and out Madison",1870,August,25,1870,October,20,1,Doane 1878,1,"Doane, Captian Gustavus",1878,,,,,
Mountain Lion,observed animal,quite numerous,More than 10,1,,0,,0,1870,summer,September,0,"Doane, Gustavus",gudo,"1870, 1874, 1875, 1876, 1878",First Hand,regional,,military personnel,Official,M,,,"Henry Washburn, Captain Gustavus Doane, Truman Everts, Private Williamson, Private Moore, Nathaniel P. Langford, Samuel Hauser, B. Stickney, Jr, Cornelius Hedges, Bean, Reynolds, Jake Smith, Warren Gillette, Walter Trumbull",19,,"40 horses, one dog; Yellowstone Rr toYellowstone Lake to W Thumb to Old Faithful and out Madison",1870,August,25,1870,October,20,1,Doane 1878,1,"Doane, Captian Gustavus",1878,,,,,
Moose,observed animal,quite numerous,More than 500,1,,0,,0,1870,summer,September,0,"Doane, Gustavus",gudo,"1870, 1874, 1875, 1876, 1878",First Hand,regional,,military personnel,Official,M,,,"Henry Washburn, Captain Gustavus Doane, Truman Everts, Private Williamson, Private Moore, Nathaniel P. Langford, Samuel Hauser, B. Stickney, Jr, Cornelius Hedges, Bean, Reynolds, Jake Smith, Warren Gillette, Walter Trumbull",19,,"40 horses, one dog; Yellowstone Rr toYellowstone Lake to W Thumb to Old Faithful and out Madison",1870,August,25,1870,October,20,1,Doane 1878,1,"Doane, Captian Gustavus",1878,,,,,
"Feline, unspecified",observed animal,wild cats were quite numerous,More than 10,1,,0,,0,1870,summer,September,0,"Doane, Gustavus",gudo,"1870, 1874, 1875, 1876, 1878",First Hand,regional,,military personnel,Official,M,,,"Henry Washburn, Captain Gustavus Doane, Truman Everts, Private Williamson, Private Moore, Nathaniel P. Langford, Samuel Hauser, B. Stickney, Jr, Cornelius Hedges, Bean, Reynolds, Jake Smith, Warren Gillette, Walter Trumbull",19,,"40 horses, one dog; Yellowstone Rr toYellowstone Lake to W Thumb to Old Faithful and out Madison",1870,August,25,1870,October,20,1,Doane 1878,1,"Doane, Captian Gustavus",1878,,,,,
,,,,0,,1,barely enough provisions,0,1870,summer,September,0,"Hedges, Cornelius",cohe,1870,First Hand,regional,,businessman,Official,M,,,"Henry Washburn, Captain Gustavus Doane, Truman Everts, Private Williamson, Private Moore, Nathaniel P. Langford, Samuel Hauser, B. Stickney, Jr, Cornelius Hedges, Bean, Reynolds, Jake Smith, Warren Gillette, Walter Trumbull",19,,"40 horses, one dog; Yellowstone Rr toYellowstone Lake to W Thumb to Old Faithful and out Madison",1870,August,25,1870,October,20,1,Hedges 1870f,1,"Hedges, Cornelius",1870,,,,,
"Bear, unspecified",observed animal,gang of 6,6 to 10,1,,0,,0,1873,summer,September,26,Unknown Observer 011,u011,1873,Unknown,,,unknown,,,Great Falls of the Yellowstone,,Taylor Bliven,,,,1873,,0,1873,,0,0,Avant Courier 1873,1,,1873,,,,,
"Bear, unspecified",killed animal,five,3 to 5,1,,0,,0,1873,summer,September,26,Unknown Observer 011,u011,1873,Unknown,,,unknown,,,Great Falls of the Yellowstone,,Taylor Bliven,,,,1873,,0,1873,,0,0,Avant Courier 1873,1,,1873,,,,,
"Bear, unspecified",attempted to kill,one,1,1,,0,,0,1873,summer,September,26,Unknown Observer 011,u011,1873,Unknown,,,unknown,,,Great Falls of the Yellowstone,,Taylor Bliven,,,,1873,,0,1873,,0,0,Avant Courier 1873,1,,1873,,,,,
Unknown,assumption,trap and hunt,,1,,0,,0,1875,spring,May,2,"Leigh, Richard ""Beaver Dick""",rile,"1875, 1876, 1878",First Hand,resident,,trapper,Non to Official,M,South Fork,,"Richard ""Beaver Dick"" Leigh, Dick Jr, Tom Lavering",,lives and traps out of Pierre's Hole,,1875,May,2,1875,November,10,0,Leigh 1956,1,"Leigh, Richard ""Beaver Dick""",1956,,,,,
Unknown,assumption,hunt for fresh meat,,1,,0,,0,1875,spring,May,15,"Leigh, Richard ""Beaver Dick""",rile,"1875, 1876, 1878",First Hand,resident,,trapper,Non to Official,M,"Lyons Creek, 2 miles below South Fork Canyon",camped,"Richard ""Beaver Dick"" Leigh, Dick Jr, Tom Lavering",,lives and traps out of Pierre's Hole,,1875,May,2,1875,November,10,0,Leigh 1956,1,"Leigh, Richard ""Beaver Dick""",1956,,,,,
Marmot,killed animal,two,2,1,,0,,0,1875,spring,May,15,"Leigh, Richard ""Beaver Dick""",rile,"1875, 1876, 1878",First Hand,resident,,trapper,Non to Official,M,"Lyons Creek, 2 miles below South Fork Canyon",camped,"Richard ""Beaver Dick"" Leigh, Dick Jr, Tom Lavering",,lives and traps out of Pierre's Hole,,1875,May,2,1875,November,10,0,Leigh 1956,1,"Leigh, Richard ""Beaver Dick""",1956,,,,,
Marmot,killed animal,one,1,1,,0,,0,1875,spring,May,15,"Leigh, Richard ""Beaver Dick""",rile,"1875, 1876, 1878",First Hand,resident,,trapper,Non to Official,M,"Lyons Creek, 2 miles below South Fork Canyon",camped,"Richard ""Beaver Dick"" Leigh, Dick Jr, Tom Lavering",,lives and traps out of Pierre's Hole,,1875,May,2,1875,November,10,0,Leigh 1956,1,"Leigh, Richard ""Beaver Dick""",1956,,,,,
Pronghorn,observed animal,,Less than 10,1,,0,,0,1876,summer,September,13,"Switzer, M.A.",masw,1876,First Hand,regional,,rancher,Non to Official,M,"on Madison River, near Wolf Creek",few miles north of present Lyons Bridge,"M.A. Switzer, Charley, John, Chub, Burt, Greeley, Cole",7,,"Madison River, Upper Geyser Basin, Mammoth HS",1876,September,13,1876,October,1,0,Switzer 1876,1,"Switzer, M.A.",1876,,,,,
